,slang,formal
1245,maybe,mungkin
1246,next,lanjut
1247,sebelom,sebelum
1248,waspadalah,waspada
1249,our,kami
1250,bokep,porno
1251,cayalah,percaya
1252,gantengsaya,ganteng
1253,bajir,banjir
1254,parte,partai
1255,nyalahin,salah
1256,nyerang,serang
1257,dzolim,zalim
1258,nipu,tipu
1259,mnipu,tipu
1260,ktipu,tipu
1261,valid,sah
1262,jentelmen,berani
1263,buzzerbuzzer,buzzer
1264,buangbuang,buang
1265,tsk,tersangka
1266,tsangka,tersangka
1267,dungu,bodoh
1268,lemot,lambat
1269,capek,lelah
1270,kurng,kurang
1271,bajir,banjir
1272,ista,nista
1273,istaa,nista
1274,less,kurang
1275,bebal,bodoh
1276,koar,teriak
1277,muna,munafik
1278,lelet,lambat
1279,naas,nahas
1280,paranoid,takut
1281,parno,takut
1282,problem,masalah
1283,puyeng,pusing
1284,songong,sombong
1285,taik,kotoran
1286,tahi,kotoran
1287,tai,kotoran
1288,tirani,tiran
1289,pls,tolong
1290,tilep,tilap
1291,accord,sesuai
1292,happy,bahagia
1293,irit,hemat
1294,tak,tidak
1295,semau,asal
1296,mbual,bual
1297,mantabss bagus,
1298,penertiban,tertib
1299,orange,oranye
1300,uasai,kuasa
1301,vote,pilih
1302,mnolak,tolak
1303,menolak,tolak
1304,trending,trend
1305,presh,segar
1306,taik,tahi
1307,serasiii,serasi
1308,wkwkkw,tertawa
1309,soft,halus
1310,setting,atur
1311,angis,nangis
1312,ahokncc,ahok
1313,almaidahyg,almaidah
1314,istaa,nista
1315,benarjujur,benar
1316,benarjujur,jujur
1317,sayan,sayang
1318,mgkin,mungkin
