,slang,formal
298,duh,aduh
299,duit,uang
300,duren,durian
301,dy,dia
302,ed,edisi
303,edan,gila
304,egp,emang gue pikirin
305,eike,aku
306,eke,aku
307,elo,kamu
308,elu,kamu
309,emang,memang
310,emangnya,memangnya
311,emg,memang
312,emng,memang
313,emte,makan teman
314,endak,tidak
315,engga,tidak
316,enggak,tidak
317,entar,nanti
318,envy,iri
319,etc,et cetera
320,ex,mantan
321,ext,extension
322,fax,facsimile
323,fb,facebook
324,fifo,first in first out
325,finek,finansial ekonomi
326,folbek,follow back
327,fwd,diterukan
328,fyi,sebagai informasi
329,ga,tidak
330,gaada,tidak ada uang
331,gabisa,tidak bisa
332,gag,tidak
333,gahar,sangar
334,gaje,tidak jelas
335,gak,tidak
336,gak papa,tidak apa-apa
337,gamau,tidak mau
338,gan,juragan
339,gapapa,tidak apa-apa
340,gaptek,gagap teknologi
341,gatau,tidak tahu
342,gatek,gagap teknologi
343,gatot,gagal total
344,gawe,kerja
345,gax,tidak
346,gbs,tidak bisa
347,gda,tidak ada uang
348,gebetan,orang yang disuka
349,geer,gede rasa
350,geje,tidak jelas
351,gelo,gila
352,gepeng,gelandangan dan pengemis
353,ghiey,lagi
354,ghiy,lagi
355,gi,lagi
356,gile,gila
357,giman,gigi mancung
358,gimana,bagaimana
359,gini,begini
360,gino,gigi nongol
361,gitchu,gitu
362,githu,gitu
363,gitu,begitu
364,gj,tidak jelas
365,gk,tidak
366,gmana,bagaimana
367,gmn,bagaimana
368,gn,begini
369,goblog,goblok
370,goblok,bodoh
371,good,bagus
372,gokil,gila
373,golput,golongan putih
374,gombal,suka merayu
375,gowes,mengayuh sepeda
376,gpl,tidak pakai lama
377,gpny,tidak punya
378,gpp,tidak apa-apa
379,gr,gede rasa
380,gretong,gratis
381,gretongan,gratisan
382,gt,begitu
383,gtau,tidak tahu
384,gtw,tidak tahu
385,gua,saya
386,gue,saya
387,guoblok,goblok
388,guys,teman-teman
389,gw,saya
390,gws,cepat sembuh
391,ha,tertawa
392,haghaghag,tertawa
393,haha,tertawa
394,hakhak,tertawa
395,hallow,halo
396,handak,bahan peledak
397,hankam,pertahanan dan keamanan
398,hansip,pertahanan sipil
399,hehe,he
400,hellow,halo
401,helo,halo
402,helow,halo
403,hey,hai
404,hi,hai
405,hlm,halaman
406,hlng,hilang
407,hny,hanya
408,hnya,hanya
409,hoax,isu bohong
410,houm,rumah
411,hr,hari
412,hrs,harus
413,hrus,harus
414,hubad,hubungan angkatan darat
415,hubdar,perhubungan darat
416,hubla,perhubungan laut
417,huff,mengeluh
418,huft,mengeluh
419,hum,rumah
420,humas,hubungan masyarakat
421,humz,rumah
422,idk,saya tidak tahu
423,ilang,hilang
424,ilfeel,tidak suka
425,ilfil,tidak suka
426,imba,jago sekali
427,imho,in my humble opinion
428,imoet,imut
429,imoetz,imut
430,info,informasi
431,item,hitam
432,itung,hitung
433,itungan,hitungan
434,isengin,bercanda
435,iy,iya
436,iyala,iya lah
437,iye,iya
438,iyo,iya
439,ja,saja
440,jablay,jarang dibelai
441,jadiin,jadikan
442,jadul,jaman dulu
443,jaim,jaga image
444,jancuk,anjing
445,jayus,tidak lucu
446,jd,jadi
447,jdi,jadi
448,jdikan,jadikan
449,jem,jam
450,jg,juga
451,jga,juga
452,jgn,jangan
453,jgnkan,jangankan
454,jijay,jijik
455,jir,anjing
456,jkt,jakarta
457,jln,jalan
458,jnj,janji
459,jomblo,tidak punya pacar
460,jth,jatuh
461,jubir,juru bicara
462,jurdil,jujur adil
463,jutek,galak
464,jwb,jawab
465,k,ke
466,ka,kakak
467,kab,kabupaten
468,kabag,kepala bagian
469,kabor,kabur
470,kacian,kasihan
471,kacrut,kacau
472,kadit,kepala direktorat
473,kadiv,kepala divisi
474,kaga,tidak
475,kagak,tidak
476,kaka,kakak
477,kalo,kalau
478,kalo,kalau
479,kampret,sialan
480,kamtib,keamanan dan ketertiban
481,kamtibmas,keamanan dan ketertiban masyarakat
482,kamuh,kamu
483,kamuwh,kamu
484,kamyu,kamu
485,kanwil,kantor wilayah
486,kapt,kapten
487,karna,karena
488,kasat,kepala satuan
489,kasubbag,kepala subbagian
490,kasubbid,kepala subbidang
491,katrok,kampungan
492,kau,kamu
493,kayanya,kayaknya
494,kbar,kabar
495,kbr,kabar
496,kcian,kasihan
497,kdu,harus
498,keburu,terlanjur
499,kec,kecamatan
500,kedubes,kedutaan besar
501,kejurnas,kejuaraan nasional
502,kek,seperti
503,kekeuh,keras kepala
504,keknya,kayaknya
505,kel,kelurahan
506,keliatan,kelihatan
507,kemaren,kemarin
508,keneh,masih
509,kepengen,mau
510,kepikiran,terpikirkan
511,kepingin,mau
512,kepo,mau tahu urusan orang
513,kepsek,kepala sekolah
514,kere,tidak punya uang
515,kesbang,kesatuan bangsa
516,kesian,kasihan
517,kesra,kesejahteraan rakyat
518,ketauan,ketahuan
519,ketrima,diterima
520,keukeuh,keras kepala
521,kgiatan,kegiatan
522,khan,kan
523,kibul,bohong
524,kibus,kaki busuk
525,kimpoi,kawin
526,kk,kakak
527,kl,kalau
528,klian,kalian
529,klianz,kalian
530,klo,kalau
531,kloter,kelompok terbang
532,kluarga,keluarga
533,klw,kalau
534,klwrga,keluarga
535,km,kamu
536,kmari,kemari
537,kmps,kampus
538,kmpus,kampus
539,kmrn,kemarin
540,kn,kan
541,knal,kenal
542,knl,kenal
543,knp,kenapa
544,knpa,kenapa
545,kodya,kota madya
546,kog,kok
547,komdis,komisi disiplin
548,kompi,komputer
549,komsov,komunis sovyet
550,komtiong,komunis Tiongkok
551,kongkow,kumpul bareng teman-teman
552,konjen,konsulat jenderal
553,kopdar,kopi darat
554,koq,kok
555,korup,korupsi
556,kpd,kepada
557,kpn,kapan
558,kptsan,keputusan
559,krenz,keren
560,krik,garing
561,krm,kirim
